ID,File,Book,Chapter,Set,Set item,Printed question number,Question PDF page,Answer PDF page,Reading PDF pages,Printed marked option position (1-based),Scoring status
b1-c4-s2-q25,Copy of Book 1.pdf,1,4,2,25,25,162,332,33–34,4,marked
b1-c4-s2-q26,Copy of Book 1.pdf,1,4,2,26,26,162,332,33–34,5,marked
b1-c4-s2-q27,Copy of Book 1.pdf,1,4,2,27,27,163,333,33–34,2,marked
b1-c4-s2-q28,Copy of Book 1.pdf,1,4,2,28,28,163,333,33–34,,unresolved
b1-c4-s2-q29,Copy of Book 1.pdf,1,4,2,29,29,163,333,33–34,4,note
b1-c4-s2-q30,Copy of Book 1.pdf,1,4,2,30,30,163,333,33–34,2,marked
b1-c5-s1-q01,Copy of Book 1.pdf,1,5,1,1,1,185,355,39–40,2,marked
b1-c5-s1-q02,Copy of Book 1.pdf,1,5,1,2,2,185,355,39–40,1,marked
b1-c5-s1-q03,Copy of Book 1.pdf,1,5,1,3,3,185,355,39–40,2,marked
b1-c5-s1-q04,Copy of Book 1.pdf,1,5,1,4,4,186,356,39–40,3,marked
b1-c5-s1-q05,Copy of Book 1.pdf,1,5,1,5,5,186,356,39–40,4,disputed
b1-c5-s1-q06,Copy of Book 1.pdf,1,5,1,6,6,186,356,39–40,2,marked
b1-c5-s1-q07,Copy of Book 1.pdf,1,5,1,7,7,186,356,39–40,5,marked
b1-c5-s1-q08,Copy of Book 1.pdf,1,5,1,8,8,187,357,39–40,3,marked
b1-c5-s1-q09,Copy of Book 1.pdf,1,5,1,9,9,187,357,39–40,2,marked
b1-c5-s1-q10,Copy of Book 1.pdf,1,5,1,10,10,187,357,39–40,2,marked
b1-c5-s1-q11,Copy of Book 1.pdf,1,5,1,11,11,187,357,39–40,1,marked
b1-c5-s1-q12,Copy of Book 1.pdf,1,5,1,12,12,188,358,39–40,1,marked
b1-c5-s1-q13,Copy of Book 1.pdf,1,5,1,13,13,188,358,39–40,2,marked
b1-c5-s1-q14,Copy of Book 1.pdf,1,5,1,14,14,188,358,39–40,2,marked
b1-c5-s1-q15,Copy of Book 1.pdf,1,5,1,15,15,188,358,39–40,3,marked
b1-c5-s1-q16,Copy of Book 1.pdf,1,5,1,16,16,188,358,39–40,3,marked
b1-c5-s1-q17,Copy of Book 1.pdf,1,5,1,17,17,189,359,39–40,1,marked
b1-c5-s1-q18,Copy of Book 1.pdf,1,5,1,18,18,189,359,39–40,5,marked
b1-c5-s1-q19,Copy of Book 1.pdf,1,5,1,19,19,189,359,39–40,1,disputed
b1-c5-s1-q20,Copy of Book 1.pdf,1,5,1,20,20,189,359,39–40,2,marked
b1-c5-s1-q21,Copy of Book 1.pdf,1,5,1,21,21,190,360,39–40,1,marked
b1-c5-s1-q22,Copy of Book 1.pdf,1,5,1,22,22,190,360,39–40,2,marked
b1-c5-s1-q23,Copy of Book 1.pdf,1,5,1,23,23,190,360,39–40,1,marked
b1-c5-s1-q24,Copy of Book 1.pdf,1,5,1,24,24,190,360,39–40,3,marked
b1-c5-s1-q25,Copy of Book 1.pdf,1,5,1,25,25,191,361,39–40,4,marked
b1-c5-s1-q26,Copy of Book 1.pdf,1,5,1,26,26,191,361,39–40,5,note
b1-c5-s1-q27,Copy of Book 1.pdf,1,5,1,27,27,191,361,39–40,1,marked
b1-c5-s1-q28,Copy of Book 1.pdf,1,5,1,28,28,191,361,39–40,2,marked
b1-c5-s1-q29,Copy of Book 1.pdf,1,5,1,29,29,191,361,39–40,1,marked
b1-c5-s1-q30,Copy of Book 1.pdf,1,5,1,30,30,192,362,39–40,5,marked
b1-c5-s2-q01,Copy of Book 1.pdf,1,5,2,1,1,193,363,40–41,4,marked
b1-c5-s2-q02,Copy of Book 1.pdf,1,5,2,2,2,193,363,40–41,3,marked
b1-c5-s2-q03,Copy of Book 1.pdf,1,5,2,3,3,193,363,40–41,2,marked
b1-c5-s2-q04,Copy of Book 1.pdf,1,5,2,4,4,193,363,40–41,1,note
b1-c5-s2-q05,Copy of Book 1.pdf,1,5,2,5,5,194,364,40–41,2,marked
b1-c5-s2-q06,Copy of Book 1.pdf,1,5,2,6,6,194,364,40–41,3,marked
b1-c5-s2-q07,Copy of Book 1.pdf,1,5,2,7,7,194,364,40–41,4,marked
b1-c5-s2-q08,Copy of Book 1.pdf,1,5,2,8,8,194,364,40–41,5,marked
b1-c5-s2-q09,Copy of Book 1.pdf,1,5,2,9,9,194,364,40–41,2,marked
